Holding Name,Ticker,Sector,Country code,% of net assets
XCMG Construction Machinery Co. Ltd.,000425,Machinery: Construction and Handling,CN,0.00813%
Southwest Securities Co. Ltd.,600369,Investment Services,CN,0.00812%
Jilin Aodong Pharmaceutical Group Co. Ltd.,000623,Pharmaceuticals,CN,0.00811%
China Jushi Co. Ltd.,600176,Chemicals and Synthetic Fibers,CN,0.00811%
Weifu High-Technology Group Co. Ltd.,000581,Auto Parts,CN,0.00810%
Rajesh Exports Ltd.,RAJESHEXPO,Luxury Items,IN,0.00807%
Xiamen Faratronic Co. Ltd.,600563,Electronic Components,CN,0.00805%
Suzhou Maxwell Technologies Co. Ltd.,300751,Electronic Components,CN,0.00801%
Kansai Nerolac Paints Ltd.,KANSAINER,Paints and Coatings,IN,0.00801%
Bank of Qingdao Co. Ltd.,002948,Banks,CN,0.00800%
Avia Avian Tbk PT,AVIA,Paints and Coatings,ID,0.00796%
Shanghai Putailai New Energy Technology Co. Ltd.,603659,Diversified Materials,CN,0.00791%
Korea Gas Corp.,036460,Gas Distribution,KR,0.00790%
A-Living Smart City Services Co. Ltd.,3319,Real Estate Services,CN,0.00790%
Zhejiang Huayou Cobalt Co. Ltd.,603799,Nonferrous Metals,CN,0.00788%
Olam Group Ltd.,VC2,Food Products,SG,0.00788%
LB Group Co. Ltd.,002601,Specialty Chemicals,CN,0.00785%
Ninestar Corp.,002180,Computer Hardware,CN,0.00784%
CSC Financial Co. Ltd.,601066,Investment Services,CN,0.00780%
Shanghai Fudan Microelectronics Group Co. Ltd.,688385,Semiconductors,CN,0.00780%
Zhejiang Supor Co. Ltd.,002032,Household Appliance,CN,0.00778%
Hyundai Wia Corp.,011210,Auto Parts,KR,0.00777%
SIA Engineering Co. Ltd.,S59,Transportation Services,SG,0.00757%
Jiangsu Eastern Shenghong Co. Ltd.,000301,Textile Products,CN,0.00757%
Srisawad Corp. PCL,SAWAD-F,Consumer Lending,TH,0.00755%
Guosen Securities Co. Ltd.,002736,Investment Services,CN,0.00754%
Sun TV Network Ltd.,SUNTV,Radio and TV Broadcasters,IN,0.00752%
Beijing Yanjing Brewery Co. Ltd.,000729,Brewers,CN,0.00750%
LG H&H Co. Ltd.,051905,Personal Products,KR,0.00749%
Hutchison Port Holdings Trust,NS8U,Transportation Services,SG,0.00749%
Lao Feng Xiang Co. Ltd.,900905,Luxury Items,CN,0.00748%
Sinoma Science & Technology Co. Ltd.,002080,Chemicals and Synthetic Fibers,CN,0.00745%
SSANGYONG C&E Co. Ltd.,003410,Cement,KR,0.00740%
Yifeng Pharmacy Chain Co. Ltd.,603939,Drug Retailers,CN,0.00738%
Shenzhen SED Industry Co. Ltd.,000032,Engineering and Contracting Services,CN,0.00738%
Shanghai Zhenhua Heavy Industries Co. Ltd.,900947,Machinery: Construction and Handling,CN,0.00735%
China International Marine Containers Group Co. Ltd.,2039,Transportation Services,CN,0.00731%
Shandong Denghai Seeds Co. Ltd.,002041,"Farming, Fishing, Ranching and Plantatio",CN,0.00730%
China Lesso Group Holdings Ltd.,2128,Building Materials: Other,KY,0.00728%
China Energy Engineering Corp. Ltd.,3996,Engineering and Contracting Services,CN,0.00724%
AMOREPACIFIC Group,002790,Cosmetics,KR,0.00721%
Shanghai Bairun Investment Holding Group Co. Ltd.,002568,Specialty Chemicals,CN,0.00720%
Tuya Inc.,TUYA,Software,KY,0.00720%
Huayu Automotive Systems Co. Ltd.,600741,Auto Parts,CN,0.00719%
New Hope Liuhe Co. Ltd.,000876,"Farming, Fishing, Ranching and Plantatio",CN,0.00719%
Zhejiang Jingsheng Mechanical & Electrical Co. Ltd.,300316,Production Technology Equipment,CN,0.00714%
Sunwoda Electronic Co. Ltd.,300207,Nondurable Household Products,CN,0.00714%
WUS Printed Circuit Kunshan Co. Ltd.,002463,Electronic Components,CN,0.00710%
Wens Foodstuffs Group Co. Ltd.,300498,"Farming, Fishing, Ranching and Plantatio",CN,0.00703%
StarHub Ltd.,CC3,Telecommunications Services,SG,0.00702%
Guangxi Liugong Machinery Co. Ltd.,000528,Machinery: Construction and Handling,CN,0.00701%
Sieyuan Electric Co. Ltd.,002028,Electronic Components,CN,0.00700%
Poly Property Services Co. Ltd.,6049,Real Estate Services,CN,0.00699%
COSCO SHIPPING Development Co. Ltd.,601866,Marine Transportation,CN,0.00693%
Shanghai Zhangjiang High-Tech Park Development Co. Ltd.,600895,Real Estate Holding and Development,CN,0.00691%
XL Axiata Tbk PT,EXCL,Telecommunications Services,ID,0.00690%
Shenzhen Everwin Precision Technology Co. Ltd.,300115,Electronic Components,CN,0.00687%
B Grimm Power PCL,BGRIM-F,Conventional Electricity,TH,0.00681%
CJ ENM Co. Ltd.,035760,Diversified Retailers,KR,0.00679%
Do-Fluoride New Materials Co. Ltd.,002407,Specialty Chemicals,CN,0.00679%
Guangzhou Tinci Materials Technology Co. Ltd.,002709,Specialty Chemicals,CN,0.00677%
Shanghai Waigaoqiao Free Trade Zone Group Co. Ltd.,600648,Real Estate Holding and Development,CN,0.00676%
Hengli Petrochemical Co. Ltd.,600346,Chemicals: Diversified,CN,0.00670%
Samsung Card Co. Ltd.,029780,Consumer Lending,KR,0.00670%
Jiangsu Yuyue Medical Equipment & Supply Co. Ltd.,002223,Medical Equipment,CN,0.00668%
Hite Jinro Co. Ltd.,000080,Distillers and Vintners,KR,0.00668%
Qingdao Rural Commercial Bank Corp.,002958,Banks,CN,0.00667%
People.cn Co. Ltd.,603000,Consumer Digital Services,CN,0.00666%
Kingsoft Cloud Holdings Ltd.,3896,Computer Services,KY,0.00665%
Hyundai Department Store Co. Ltd.,069960,Diversified Retailers,KR,0.00665%
LT Group Inc.,LTG,Banks,PH,0.00663%
Dayamitra Telekomunikasi PT,MTEL,Telecommunications Services,ID,0.00661%
Longshine Technology Group Co. Ltd.,300682,Software,CN,0.00658%
Zhejiang China Commodities City Group Co. Ltd.,600415,Diversified Retailers,CN,0.00651%
Hoshine Silicon Industry Co. Ltd.,603260,Specialty Chemicals,CN,0.00648%
Shandong Pharmaceutical Glass Co. Ltd.,600529,Medical Supplies,CN,0.00644%
Shandong Gold Mining Co. Ltd.,1787,Gold Mining,CN,0.00644%
Kakao Games Corp.,293490,Electronic Entertainment,KR,0.00642%
Sinomine Resource Group Co. Ltd.,002738,General Mining,CN,0.00642%
Jinke Smart Services Group Co. Ltd.,9666,Real Estate Services,CN,0.00642%
North Huajin Chemical Industries Co. Ltd.,000059,Chemicals: Diversified,CN,0.00637%
China Tourism Group Duty Free Corp. Ltd.,1880,Specialty Retailers,CN,0.00637%
Zhejiang Chint Electrics Co. Ltd.,601877,Electrical Components,CN,0.00636%
ACEN Corp.,ACEN,Alternative Electricity,PH,0.00635%
Singapore Post Ltd.,S08,Delivery Services,SG,0.00635%
Shenwan Hongyuan Group Co. Ltd.,6806,Investment Services,CN,0.00634%
Hangzhou Silan Microelectronics Co. Ltd.,600460,Semiconductors,CN,0.00632%
Johnson Electric Holdings Ltd.,179,Electrical Components,BM,0.00631%
Beijing Jingneng Clean Energy Co. Ltd.,579,Alternative Electricity,CN,0.00628%
Hutchison Telecommunications Hong Kong Holdings Ltd.,215,Telecommunications Services,KY,0.00627%
Shenzhen SC New Energy Technology Corp.,300724,Semiconductors,CN,0.00625%
SooChow Securities Co. Ltd.,601555,Investment Services,CN,0.00623%
Skshu Paint Co. Ltd.,603737,Paints and Coatings,CN,0.00623%
Seazen Holdings Co. Ltd.,601155,Real Estate Holding and Development,CN,0.00616%
Puregold Price Club Inc.,PGOLD,Food Retailers and Wholesalers,PH,0.00616%
Shandong Nanshan Aluminum Co. Ltd.,600219,Aluminum,CN,0.00614%
Sichuan Swellfun Co. Ltd.,600779,Distillers and Vintners,CN,0.00614%
Shanying International Holding Co. Ltd.,600567,Paper,CN,0.00614%
Sinotrans Ltd.,598,Transportation Services,CN,0.00612%
Jiangxi Special Electric Motor Co. Ltd.,002176,Machinery: Industrial,CN,0.00611%
China Resources Building Materials Technology Holdings Ltd.,1313,Cement,KY,0.00611%
China Everbright Ltd.,165,Asset Managers and Custodians,HK,0.00610%
Xiamen ITG Group Corp. Ltd.,600755,Industrial Suppliers,CN,0.00610%
Bukit Asam Tbk PT,PTBA,Coal,ID,0.00608%
Chengxin Lithium Group Co. Ltd.,002240,General Mining,CN,0.00606%
Beijing Shougang Co. Ltd.,000959,Iron and Steel,CN,0.00605%
Dongfang Electric Corp. Ltd.,1072,Renewable Energy Equipment,CN,0.00604%
Qinhuangdao Port Co. Ltd.,601326,Transportation Services,CN,0.00599%
Remegen Co. Ltd.,9995,Biotechnology,CN,0.00599%
Hangzhou First Applied Material Co. Ltd.,603806,Plastics,CN,0.00596%
Shenzhen Infogem Technologies Co. Ltd.,300085,Software,CN,0.00594%
Shui On Land Ltd.,272,Real Estate Holding and Development,KY,0.00592%
China National Accord Medicines Corp. Ltd.,200028,Drug Retailers,CN,0.00591%
Ingenic Semiconductor Co. Ltd.,300223,Semiconductors,CN,0.00590%
Yantai Changyu Pioneer Wine Co. Ltd.,200869,Distillers and Vintners,CN,0.00588%
Lotte Energy Materials Corp.,020150,Electronic Components,KR,0.00585%
Beijing Enlight Media Co. Ltd.,300251,Entertainment,CN,0.00584%
Unisplendour Corp. Ltd.,000938,Computer Hardware,CN,0.00577%
ORG Technology Co. Ltd.,002701,Containers and Packaging,CN,0.00577%
Lao Feng Xiang Co. Ltd.,600612,Luxury Items,CN,0.00576%
Champion REIT,2778,Office REITs,HK,0.00573%
3peak Inc.,688536,Semiconductors,CN,0.00568%
Hangzhou Robam Appliances Co. Ltd.,002508,Household Appliance,CN,0.00563%
Hengyi Petrochemical Co. Ltd.,000703,Chemicals: Diversified,CN,0.00561%
SK Chemicals Co. Ltd.,285130,Chemicals and Synthetic Fibers,KR,0.00559%
Suzhou Dongshan Precision Manufacturing Co. Ltd.,002384,Metal Fabricating,CN,0.00559%
Winning Health Technology Group Co. Ltd.,300253,Health Care Services,CN,0.00557%
Lee & Man Paper Manufacturing Ltd.,2314,Paper,KY,0.00556%
Converge Information and Communications Technology Solutions Inc.,CNVRG,Telecommunications Services,PH,0.00556%
Canmax Technologies Co. Ltd.,300390,Industrial Suppliers,CN,0.00555%
Shanghai BOCHU Electronic Technology Corp. Ltd.,688188,Computer Services,CN,0.00554%
China Zhenhua Group Science & Technology Co. Ltd.,000733,Electronic Components,CN,0.00554%
Amorepacific Corp.,090435,Cosmetics,KR,0.00552%
Kerry Logistics Network Ltd.,636,Transportation Services,BM,0.00546%
Changjiang Securities Co. Ltd.,000783,Investment Services,CN,0.00545%
Wanxiang Qianchao Co. Ltd.,000559,Auto Parts,CN,0.00545%
Shanghai AJ Group Co. Ltd.,600643,Asset Managers and Custodians,CN,0.00544%
Paradise Co. Ltd.,034230,Casinos and Gambling,KR,0.00543%
Zhuzhou Kibing Group Co. Ltd.,601636,Building Materials: Other,CN,0.00543%
Angel Yeast Co. Ltd.,600298,Food Products,CN,0.00542%
YTO Express Group Co. Ltd.,600233,Delivery Services,CN,0.00541%
Hundsun Technologies Inc.,600570,Software,CN,0.00540%
Guanghui Energy Co. Ltd.,600256,Oil: Crude Producers,CN,0.00540%
Intco Medical Technology Co. Ltd.,300677,Medical Supplies,CN,0.00539%
China National Software & Service Co. Ltd.,600536,Software,CN,0.00539%
Shanghai Lujiazui Finance & Trade Zone Development Co. Ltd.,600663,Real Estate Holding and Development,CN,0.00536%
Anhui Yingjia Distillery Co. Ltd.,603198,Distillers and Vintners,CN,0.00535%
Zhuhai Huafa Properties Co. Ltd.,600325,Real Estate Holding and Development,CN,0.00534%
Shanghai Junshi Biosciences Co. Ltd.,688180,Biotechnology,CN,0.00533%
SG Micro Corp.,300661,Semiconductors,CN,0.00533%
Sangfor Technologies Inc.,300454,Computer Services,CN,0.00530%
Shandong Chenming Paper Holdings Ltd.,000488,Paper,CN,0.00529%
Ningbo Tuopu Group Co. Ltd.,601689,Auto Parts,CN,0.00529%
Yealink Network Technology Corp. Ltd.,300628,Telecommunications Equipment,CN,0.00529%
Beijing SL Pharmaceutical Co. Ltd.,002038,Biotechnology,CN,0.00526%
Pangang Group Vanadium Titanium & Resources Co. Ltd.,000629,Iron and Steel,CN,0.00525%
Suzhou TFC Optical Communication Co. Ltd.,300394,Telecommunications Equipment,CN,0.00525%
Shanghai RAAS Blood Products Co. Ltd.,002252,Biotechnology,CN,0.00524%
Yunnan Energy New Material Co. Ltd.,002812,Containers and Packaging,CN,0.00523%
Seazen Group Ltd.,1030,Real Estate Holding and Development,KY,0.00522%
Guangdong Electric Power Development Co. Ltd.,200539,Conventional Electricity,CN,0.00521%
Western Superconducting Technologies Co. Ltd.,688122,Iron and Steel,CN,0.00521%
Shanghai Yuyuan Tourist Mart Group Co. Ltd.,600655,Apparel Retailers,CN,0.00510%
Shenzhen Investment Ltd.,604,Real Estate Holding and Development,HK,0.00509%
Angang Steel Co. Ltd.,347,Iron and Steel,CN,0.00507%
Anjoy Foods Group Co. Ltd.,603345,Food Products,CN,0.00506%
Jointown Pharmaceutical Group Co. Ltd.,600998,Pharmaceuticals,CN,0.00504%
Ningbo Deye Technology Co. Ltd.,605117,Building: Climate Control,CN,0.00504%
Songcheng Performance Development Co. Ltd.,300144,Entertainment,CN,0.00499%
East Group Co. Ltd.,300376,Semiconductors,CN,0.00498%
Cafe de Coral Holdings Ltd.,341,Restaurants and Bars,BM,0.00491%
JCET Group Co. Ltd.,600584,Semiconductors,CN,0.00488%
Legend Holdings Corp.,3396,Computer Hardware,CN,0.00487%
Dong-E-E-Jiao Co. Ltd.,000423,Pharmaceuticals,CN,0.00486%
Shanghai Industrial Holdings Ltd.,363,Real Estate Holding and Development,HK,0.00484%
PT Tower Bersama Infrastructure Tbk,TBIG,Telecommunications Equipment,ID,0.00479%
Bumi Serpong Damai Tbk PT,BSDE,Real Estate Holding and Development,ID,0.00477%
Megaworld Corp.,MEG,Real Estate Holding and Development,PH,0.00474%
SD Biosensor Inc.,137310,Medical Supplies,KR,0.00474%
Shenzhen Hepalink Pharmaceutical Group Co. Ltd.,9989,Pharmaceuticals,CN,0.00473%
JiuGui Liquor Co. Ltd.,000799,Distillers and Vintners,CN,0.00472%
Shenzhen Overseas Chinese Town Co. Ltd.,000069,Recreational Services,CN,0.00472%
Weifu High-Technology Group Co. Ltd.,200581,Auto Parts,CN,0.00471%
Blue Moon Group Holdings Ltd.,6993,Nondurable Household Products,KY,0.00470%
Tianqi Lithium Corp.,9696,Specialty Chemicals,CN,0.00470%
Shanghai Tunnel Engineering Co. Ltd.,600820,Construction,CN,0.00463%
Seegene Inc.,096530,Biotechnology,KR,0.00461%
Asymchem Laboratories Tianjin Co. Ltd.,002821,Pharmaceuticals,CN,0.00458%
Zhejiang Weixing New Building Materials Co. Ltd.,002372,Plastics,CN,0.00456%
Zhejiang Dingli Machinery Co. Ltd.,603338,Machinery: Construction and Handling,CN,0.00456%
Sun Art Retail Group Ltd.,6808,Diversified Retailers,HK,0.00447%
Daewoo Engineering & Construction Co. Ltd.,047040,Construction,KR,0.00443%
Shengyi Technology Co. Ltd.,600183,Electronic Components,CN,0.00441%
Huabao International Holdings Ltd.,336,Chemicals: Diversified,BM,0.00439%
Humanwell Healthcare Group Co. Ltd.,600079,Pharmaceuticals,CN,0.00439%
China Meidong Auto Holdings Ltd.,1268,Specialty Retailers,KY,0.00437%
Surya Citra Media Tbk PT,SCMA,Radio and TV Broadcasters,ID,0.00433%
China Great Wall Securities Co. Ltd.,002939,Investment Services,CN,0.00433%
Smartfren Telecom Tbk PT,FREN,Telecommunications Services,ID,0.00431%
Kuang-Chi Technologies Co. Ltd.,002625,Auto Parts,CN,0.00429%
Thunder Software Technology Co. Ltd.,300496,Computer Services,CN,0.00429%
Fujian Funeng Co. Ltd.,600483,Conventional Electricity,CN,0.00429%
Walvax Biotechnology Co. Ltd.,300142,Pharmaceuticals,CN,0.00426%
37 Interactive Entertainment Network Technology Group Co. Ltd.,002555,Electronic Entertainment,CN,0.00426%
Han's Laser Technology Industry Group Co. Ltd.,002008,Machinery: Specialty,CN,0.00421%
CMOC Group Ltd.,603993,Nonferrous Metals,CN,0.00419%
Rongsheng Petrochemical Co. Ltd.,002493,Chemicals: Diversified,CN,0.00416%
Wuhan Guide Infrared Co. Ltd.,002414,Production Technology Equipment,CN,0.00414%
Joinn Laboratories China Co. Ltd.,603127,Biotechnology,CN,0.00413%
Solus Advanced Materials Co. Ltd.,336370,Electrical Components,KR,0.00409%
Ecovacs Robotics Co. Ltd.,603486,Household Equipment and Products,CN,0.00408%
Shanghai Construction Group Co. Ltd.,600170,Construction,CN,0.00408%
Hanwha Corp.,000880,Life Insurance,KR,0.00408%
Ming Yang Smart Energy Group Ltd.,601615,Renewable Energy Equipment,CN,0.00407%
Financial Street Holdings Co. Ltd.,000402,Real Estate Holding and Development,CN,0.00402%
Meinian Onehealth Healthcare Holdings Co. Ltd.,002044,Health Care Services,CN,0.00401%
Angelalign Technology Inc.,6699,Medical Supplies,KY,0.00401%
GoodWe Technologies Co. Ltd.,688390,Electrical Components,CN,0.00401%
Godrej Industries Ltd.,GODREJIND,Diversified Industrials,IN,0.00399%
Beijing Dabeinong Technology Group Co. Ltd.,002385,"Farming, Fishing, Ranching and Plantatio",CN,0.00396%
China Reinsurance Group Corp.,1508,Reinsurance,CN,0.00396%
Offshore Oil Engineering Co. Ltd.,600583,Oil Equipment and Services,CN,0.00394%
Weihai Guangwei Composites Co. Ltd.,300699,Chemicals and Synthetic Fibers,CN,0.00394%
StarPower Semiconductor Ltd.,603290,Semiconductors,CN,0.00390%
Goldwind Science & Technology Co. Ltd.,2208,Renewable Energy Equipment,CN,0.00389%
OFILM Group Co. Ltd.,002456,Electronic Equipment: Other,CN,0.00389%
Yanlord Land Group Ltd.,Z25,Real Estate Holding and Development,SG,0.00388%
Guangzhou Kingmed Diagnostics Group Co. Ltd.,603882,Medical Services,CN,0.00388%
Nexteer Automotive Group Ltd.,1316,Auto Parts,KY,0.00385%
China South Publishing & Media Group Co. Ltd.,601098,Publishing,CN,0.00383%
Topchoice Medical Corp.,600763,Health Care Services,CN,0.00381%
Ningbo Ronbay New Energy Technology Co. Ltd.,688005,Electrical Components,CN,0.00380%
Xinhua Winshare Publishing and Media Co. Ltd.,811,Specialty Retailers,CN,0.00379%
Ginlong Technologies Co. Ltd.,300763,Electrical Components,CN,0.00377%
Industrial Securities Co. Ltd.,601377,Investment Services,CN,0.00374%
Tianshui Huatian Technology Co. Ltd.,002185,Semiconductors,CN,0.00374%
Lingyi iTech Guangdong Co.,002600,Electronic Components,CN,0.00371%
Western Securities Co. Ltd.,002673,Investment Services,CN,0.00369%
China Resources Double Crane Pharmaceutical Co. Ltd.,600062,Pharmaceuticals,CN,0.00367%
Shanghai Fosun Pharmaceutical Group Co. Ltd.,600196,Pharmaceuticals,CN,0.00364%
Fangda Carbon New Material Co. Ltd.,600516,Metal Fabricating,CN,0.00363%
Jonjee Hi-Tech Industrial And Commercial Holding Co. Ltd.,600872,Food Products,CN,0.00358%
Suzhou Gold Mantis Construction Decoration Co. Ltd.,002081,Building Materials: Other,CN,0.00352%
Bangkok Bank PCL,BBL-F,Banks,TH,0.00351%
Hoyuan Green Energy Co. Ltd.,603185,Production Technology Equipment,CN,0.00350%
Lotte Chilsung Beverage Co. Ltd.,005300,Soft Drinks,KR,0.00349%
CanSino Biologics Inc.,6185,Biotechnology,CN,0.00345%
GEM Co. Ltd.,002340,Waste and Disposal Services,CN,0.00341%
Shanghai Junshi Biosciences Co. Ltd.,1877,Biotechnology,CN,0.00340%
Bangkok Life Assurance PCL,BLA-F,Life Insurance,TH,0.00340%
Jiangsu Cnano Technology Co. Ltd.,688116,Chemicals: Diversified,CN,0.00335%
Guoyuan Securities Co. Ltd.,000728,Investment Services,CN,0.00333%
Shanghai Bailian Group Co. Ltd.,900923,Food Retailers and Wholesalers,CN,0.00327%
Yangtze Optical Fibre & Cable Joint Stock Ltd. Co.,601869,Telecommunications Equipment,CN,0.00319%
Shenzhen Dynanonic Co. Ltd.,300769,Specialty Chemicals,CN,0.00317%
By-health Co. Ltd.,300146,Food Products,CN,0.00315%
Shanghai Pharmaceuticals Holding Co. Ltd.,601607,Pharmaceuticals,CN,0.00315%
Dah Sing Financial Holdings Ltd.,440,Banks,HK,0.00309%
Sinopec Oilfield Service Corp.,600871,Oil Equipment and Services,CN,0.00308%
Hangzhou Tigermed Consulting Co. Ltd.,3347,Health Care Services,CN,0.00306%
China Travel International Investment Hong Kong Ltd.,308,Travel and Tourism,HK,0.00301%
Avary Holding Shenzhen Co. Ltd.,002938,Electronic Components,CN,0.00298%
Xinhua Winshare Publishing and Media Co. Ltd.,601811,Specialty Retailers,CN,0.00298%
Beijing United Information Technology Co. Ltd.,603613,Computer Services,CN,0.00295%
Sunac Services Holdings Ltd.,1516,Real Estate Services,KY,0.00289%
Beijing Shunxin Agriculture Co. Ltd.,000860,Distillers and Vintners,CN,0.00288%
Offcn Education Technology Co. Ltd.,002607,Education Services,CN,0.00285%
Jafron Biomedical Co. Ltd.,300529,Medical Equipment,CN,0.00284%
Gotion High-tech Co. Ltd.,002074,Electrical Components,CN,0.00280%
Gemdale Corp.,600383,Real Estate Holding and Development,CN,0.00280%
Shenzhen Kangtai Biological Products Co. Ltd.,300601,Biotechnology,CN,0.00275%
First Capital Securities Co. Ltd.,002797,Investment Services,CN,0.00273%
Shandong Linglong Tyre Co. Ltd.,601966,Tires,CN,0.00271%
Astra Agro Lestari Tbk PT,AALI,"Farming, Fishing, Ranching and Plantatio",ID,0.00269%
Hongfa Technology Co. Ltd.,600885,Electronic Components,CN,0.00269%
Chinalin Securities Co. Ltd.,002945,Investment Services,CN,0.00267%
COSCO SHIPPING Energy Transportation Co. Ltd.,600026,Marine Transportation,CN,0.00266%
Sichuan Teway Food Group Co. Ltd.,603317,Food Products,CN,0.00265%
Pylon Technologies Co. Ltd.,688063,Electrical Components,CN,0.00265%
Ming Yuan Cloud Group Holdings Ltd.,909,Software,KY,0.00265%
Heilongjiang Agriculture Co. Ltd.,600598,"Farming, Fishing, Ranching and Plantatio",CN,0.00264%
Shenzhen Salubris Pharmaceuticals Co. Ltd.,002294,Pharmaceuticals,CN,0.00263%
Zhejiang Huahai Pharmaceutical Co. Ltd.,600521,Pharmaceuticals,CN,0.00262%
Perfect World Co. Ltd./China,002624,Entertainment,CN,0.00260%
Dada Nexus Ltd.,DADA,Consumer Digital Services,KY,0.00257%
DL Holdings Co. Ltd.,000210,Plastics,KR,0.00255%
Beijing Shiji Information Technology Co. Ltd.,002153,Computer Services,CN,0.00251%
Yulon Nissan Motor Co. Ltd.,2227,Automobiles,TW,0.00247%
Guangdong Xinbao Electrical Appliances Holdings Co. Ltd.,002705,Household Appliance,CN,0.00244%
Shenzhen MTC Co. Ltd.,002429,Consumer Electronics,CN,0.00242%
NavInfo Co. Ltd.,002405,Telecommunications Equipment,CN,0.00241%
Dongxing Securities Co. Ltd.,601198,Investment Services,CN,0.00240%
Xinxing Ductile Iron Pipes Co. Ltd.,000778,Iron and Steel,CN,0.00236%
Super Hi International Holding Ltd.,9658,Restaurants and Bars,KY,0.00231%
All Winner Technology Co. Ltd.,300458,Semiconductors,CN,0.00231%
FIT Hon Teng Ltd.,6088,Electrical Components,KY,0.00225%
Ningbo Joyson Electronic Corp.,600699,Auto Parts,CN,0.00225%
Joincare Pharmaceutical Group Industry Co. Ltd.,600380,Pharmaceuticals,CN,0.00218%
AVICOPTER plc,600038,Aerospace,CN,0.00211%
Red Star Macalline Group Corp. Ltd.,601828,Real Estate Holding and Development,CN,0.00210%
China TransInfo Technology Co. Ltd.,002373,Computer Services,CN,0.00208%
Shanghai Rural Commercial Bank Co. Ltd.,601825,Banks,CN,0.00208%
Guotai Junan International Holdings Ltd.,1788,Investment Services,HK,0.00205%
Fujian Sunner Development Co. Ltd.,002299,"Farming, Fishing, Ranching and Plantatio",CN,0.00199%
FAW Jiefang Group Co. Ltd.,000800,Automobiles,CN,0.00197%
DHC Software Co. Ltd.,002065,Computer Services,CN,0.00197%
Shenzhen Sunway Communication Co. Ltd.,300136,Telecommunications Equipment,CN,0.00194%
Beijing Sinnet Technology Co. Ltd.,300383,Computer Services,CN,0.00194%
Guangdong Kinlong Hardware Products Co. Ltd.,002791,Building Materials: Other,CN,0.00193%
Nanjing King-Friend Biochemical Pharmaceutical Co. Ltd.,603707,Pharmaceuticals,CN,0.00187%
Lepu Medical Technology Beijing Co. Ltd.,300003,Medical Equipment,CN,0.00186%
Ovctek China Inc.,300595,Medical Supplies,CN,0.00185%
Yunda Holding Co. Ltd.,002120,Delivery Services,CN,0.00185%
Laobaixing Pharmacy Chain JSC,603883,Drug Retailers,CN,0.00179%
Guangzhou Haige Communications Group Inc. Co.,002465,Telecommunications Equipment,CN,0.00164%
Beijing Originwater Technology Co. Ltd.,300070,Waste and Disposal Services,CN,0.00163%
GRG Banking Equipment Co. Ltd.,002152,Electronic Equipment: Other,CN,0.00163%
Daan Gene Co. Ltd.,002030,Biotechnology,CN,0.00160%
C&S Paper Co. Ltd.,002511,Personal Products,CN,0.00156%
MOG Digitech Holdings Ltd.,1942,Computer Hardware,KY,0.00155%
Guangzhou Yuexiu Capital Holdings Group Co. Ltd.,000987,Diversified Financial Services,CN,0.00152%
Zhejiang Wolwo Bio-Pharmaceutical Co. Ltd.,300357,Biotechnology,CN,0.00151%
Qingdao Port International Co. Ltd.,601298,Transportation Services,CN,0.00151%
Hengdian Group DMEGC Magnetics Co. Ltd.,002056,Electronic Components,CN,0.00148%
China Merchants Property Operation & Service Co. Ltd.,001914,Real Estate Services,CN,0.00147%
Chongqing Fuling Zhacai Group Co. Ltd.,002507,Food Products,CN,0.00142%
BBMG Corp.,601992,Cement,CN,0.00139%
Shijiazhuang Changshan BeiMing Technology Co. Ltd.,000158,Computer Services,CN,0.00133%
Yantai Eddie Precision Machinery Co. Ltd.,603638,Machinery: Industrial,CN,0.00131%
Levima Advanced Materials Corp.,003022,Chemicals: Diversified,CN,0.00121%
NanJi E-Commerce Co. Ltd.,002127,Consumer Digital Services,CN,0.00113%
Fiberhome Telecommunication Technologies Co. Ltd.,600498,Telecommunications Equipment,CN,0.00104%
Huagong Tech Co. Ltd.,000988,Electronic Components,CN,0.00102%
Shanghai Mechanical and Electrical Industry Co. Ltd.,900925,Machinery: Industrial,CN,0.00099%
YANGO GROUP CO LTD-A - CONVERSION LINE (AUG 2023),—,Real Estate Holding and Development,CN,0.00097%
Shenzhen Kaifa Technology Co. Ltd.,000021,Computer Hardware,CN,0.00092%
Astro Malaysia Holdings Bhd.,ASTRO,Radio and TV Broadcasters,MY,0.00079%
Anhui Anke Biotechnology Group Co. Ltd.,300009,Biotechnology,CN,0.00070%
Beijing Zhong Ke San Huan High-Tech Co. Ltd.,000970,Electrical Components,CN,0.00069%
Wangsu Science & Technology Co. Ltd.,300017,Computer Services,CN,0.00066%
Beijing Ultrapower Software Co. Ltd.,300002,Electronic Entertainment,CN,0.00063%
Guizhou Panjiang Refined Coal Co. Ltd.,600395,Coal,CN,0.00059%
Sinopec Oilfield Service Corp.,1033,Oil Equipment and Services,CN,0.00056%
Hangzhou Oxygen Plant Group Co. Ltd.,002430,Machinery: Specialty,CN,0.00054%
Bank Danamon Indonesia Tbk PT,BDMN,Banks,ID,0.00051%
Taiji Computer Corp. Ltd.,002368,Computer Services,CN,0.00048%
Hefei Meiya Optoelectronic Technology Inc.,002690,Electronic Equipment: Gauges and Meters,CN,0.00048%
China Nonferrous Metal Industry's Foreign Engineering and Construction Co. Ltd.,000758,Nonferrous Metals,CN,0.00038%
Yuan Longping High-tech Agriculture Co. Ltd.,000998,"Farming, Fishing, Ranching and Plantatio",CN,0.00036%
